timestamp_recebido,sensor_id,tipo,valor,unidade,topico
2026-08-21T14:26:14,sensor_press_04,pressao,64.81,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:14,sensor_temp_01,temperatura,63.27,C,fabrica/maquina01/temperatura
2026-08-21T14:26:15,sensor_temp_02,temperatura,87.91,C,fabrica/maquina02/temperatura
2026-08-21T14:26:16,sensor_vib_03,vibracao,8.1,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:16,sensor_press_04,pressao,68.01,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:16,sensor_temp_01,temperatura,58.25,C,fabrica/maquina01/temperatura
2026-08-21T14:26:17,sensor_temp_02,temperatura,82.2,C,fabrica/maquina02/temperatura
2026-08-21T14:26:18,sensor_vib_03,vibracao,9.15,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:18,sensor_press_04,pressao,80.23,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:18,sensor_temp_01,temperatura,54.26,C,fabrica/maquina01/temperatura
2026-08-21T14:26:19,sensor_temp_02,temperatura,78.05,C,fabrica/maquina02/temperatura
2026-08-21T14:26:20,sensor_vib_03,vibracao,11.92,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:20,sensor_press_04,pressao,90.71,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:20,sensor_temp_01,temperatura,51.93,C,fabrica/maquina01/temperatura
2026-08-21T14:26:21,sensor_temp_02,temperatura,71.48,C,fabrica/maquina02/temperatura
2026-08-21T14:26:22,sensor_vib_03,vibracao,14.3,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:22,sensor_press_04,pressao,105.09,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:22,sensor_temp_01,temperatura,49.89,C,fabrica/maquina01/temperatura
2026-08-21T14:26:23,sensor_temp_02,temperatura,65.33,C,fabrica/maquina02/temperatura
2026-08-21T14:26:24,sensor_vib_03,vibracao,15.9,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:24,sensor_press_04,pressao,112.21,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:24,sensor_temp_01,temperatura,49.91,C,fabrica/maquina01/temperatura
2026-08-21T14:26:25,sensor_temp_02,temperatura,59.79,C,fabrica/maquina02/temperatura
2026-08-21T14:26:26,sensor_vib_03,vibracao,15.48,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:26,sensor_press_04,pressao,126.3,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:26,sensor_temp_01,temperatura,52.11,C,fabrica/maquina01/temperatura
2026-08-21T14:26:27,sensor_temp_02,temperatura,52.84,C,fabrica/maquina02/temperatura
2026-08-21T14:26:28,sensor_vib_03,vibracao,15.67,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:28,sensor_press_04,pressao,134.43,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:28,sensor_temp_01,temperatura,56.94,C,fabrica/maquina01/temperatura
2026-08-21T14:26:29,sensor_temp_02,temperatura,52.18,C,fabrica/maquina02/temperatura
2026-08-21T14:26:30,sensor_vib_03,vibracao,14.75,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:30,sensor_press_04,pressao,140.51,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:30,sensor_temp_01,temperatura,62.29,C,fabrica/maquina01/temperatura
2026-08-21T14:26:31,sensor_temp_02,temperatura,49.8,C,fabrica/maquina02/temperatura
2026-08-21T14:26:32,sensor_vib_03,vibracao,13.55,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:32,sensor_press_04,pressao,140.72,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:32,sensor_temp_01,temperatura,70.1,C,fabrica/maquina01/temperatura
2026-08-21T14:26:33,sensor_temp_02,temperatura,50.72,C,fabrica/maquina02/temperatura
2026-08-21T14:26:34,sensor_vib_03,vibracao,10.8,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:34,sensor_press_04,pressao,134.35,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:34,sensor_temp_01,temperatura,75.87,C,fabrica/maquina01/temperatura
2026-08-21T14:26:35,sensor_temp_02,temperatura,54.27,C,fabrica/maquina02/temperatura
2026-08-21T14:26:36,sensor_vib_03,vibracao,9.16,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:36,sensor_press_04,pressao,130.5,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:36,sensor_temp_01,temperatura,80.15,C,fabrica/maquina01/temperatura
2026-08-21T14:26:37,sensor_temp_02,temperatura,56.6,C,fabrica/maquina02/temperatura
2026-08-21T14:26:38,sensor_vib_03,vibracao,5.42,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:38,sensor_press_04,pressao,123.87,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:38,sensor_temp_01,temperatura,86.66,C,fabrica/maquina01/temperatura
2026-08-21T14:26:39,sensor_temp_02,temperatura,63.99,C,fabrica/maquina02/temperatura
2026-08-21T14:26:40,sensor_vib_03,vibracao,3.13,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:40,sensor_press_04,pressao,111.78,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:40,sensor_temp_01,temperatura,88.63,C,fabrica/maquina01/temperatura
2026-08-21T14:26:41,sensor_temp_02,temperatura,69.92,C,fabrica/maquina02/temperatura
2026-08-21T14:26:42,sensor_vib_03,vibracao,2.15,Hz,fabrica/maquina03/vibracao
2026-08-21T14:26:42,sensor_press_04,pressao,97.14,PSI,fabrica/maquina04/pressao
2026-08-21T14:26:42,sensor_temp_01,temperatura,88.76,C,fabrica/maquina01/temperatura
2026-08-21T14:26:43,sensor_temp_02,temperatura,75.96,C,fabrica/maquina02/temperatura
